id,title,author,description,tags,series,series_index
1,The Night Circus,Erin Morgenstern,A mysterious circus appears without warning. A tale of magic, romance, and rivalry.,magic;romance;cozy,,
2,Norwegian Wood,Haruki Murakami,A wistful, melancholic tale of love and loss.,emotional;literary;heartfelt,,
3,The Name of the Wind,Patrick Rothfuss,An epic fantasy about a gifted young man finding his fate.,fantasy;adventure;action,The Kingkiller Chronicle,1
4,The Wise Man's Fear,Patrick Rothfuss,Continuation of Kvothe's journey â€” more adventures and growth.,fantasy;adventure;action,The Kingkiller Chronicle,2
5,The Hobbit,J.R.R. Tolkien,A classic adventure of Bilbo Baggins on a quest with dwarves.,adventure;cozy;classic,The Hobbit Series,1
6,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,First in the Lord of the Rings trilogy.,adventure;epic;classic,The Lord of the Rings,1
7,The Goldfinch,Donna Tartt,A sweeping, emotional story following a boy after tragedy.,emotional;literary;thought-provoking,,
8,The Alchemist,Paulo Coelho,A short fable about following your dreams and personal legend.,light;philosophical;inspirational,,
9,Gone Girl,Gillian Flynn,A dark, twisty psychological thriller about a missing wife.,mystery;thriller;dark,,
10,Eleanor Oliphant Is Completely Fine,Gail Honeyman,A story about loneliness, healing, and human connection.,cozy;heartfelt;emotional,,
